Nome do Serviço,Notes,Categorias,Ativo?,Solicitações,Mais procurado?,Destaque,Contador,Prestadores,Validade plano
"
Igrejas e Instituições Religiosas
","
Templos, comunidades religiosas, celebrações, encontros e atividades de fé.
","""
Religião, Comunidade e Ações Sociais
""",checked,,,,,,
"
Imobiliárias
","
Empresas de venda, aluguel, administração e intermediação de imóveis urbanos e rurais.
","""
Imóveis e Moradia
""",checked,,,,,,
"
Influenciadores Locais
","
Criadores de conteúdo e perfis regionais para divulgação de marcas, produtos e serviços.
","""
Marketing e Mídia
""",checked,,,,,,
"
Informática
","
Serviços gerais de computadores, redes, notebooks, periféricos, programas e suporte técnico.
","""
Tecnologia
""",checked,,,,,,
"
Instalação de Câmeras
","
Venda, instalação e manutenção de câmeras de segurança residenciais, comerciais e rurais.
","""
Segurança e Monitoramento
""",checked,,,,,,
"
Instalação e Manutenção de Ar Condicionado
","
Instalação, limpeza, carga de gás, manutenção preventiva e corretiva de climatizadores.
","""
Serviços Técnicos
""",checked,,,,,,
"
Instituições de Apoio
","
Entidades que oferecem orientação, capacitação, suporte técnico e apoio institucional.
","""
Serviços Públicos, Associações e Entidades
""",checked,,,,,,
"
Internet e Cabeamento
","
Instalação de cabos, pontos de rede, roteadores, internet residencial e comercial.
","""
Serviços Técnicos
""",checked,,,,,,
"
Investimentos
","
Assessoria, orientação e soluções para aplicações financeiras, renda fixa, renda variável e planejamento.
","""
Serviços Financeiros, Seguros
""",checked,,,,,,
"
Irrigação Agrícola
","
Projetos, instalação e manutenção de pivôs, gotejamento, aspersão e sistemas de irrigação.
","""
Agronegócios
""",checked,,,,,,
"
Jardinagem
","
Corte de grama, poda, paisagismo, manutenção de jardins e áreas verdes.
","""
Serviços Residenciais
""",checked,,,,,,
"
Joias e Semijoias
","
Venda de joias, semijoias, bijuterias, relógios e acessórios pessoais.
","""
Comércio Local
""",checked,,,,,,
"
Laboratórios de Exames
","
Coleta e realização de exames laboratoriais, análises clínicas e testes.
","""
Saúde e bem-estar
""",checked,,,,,,
"
Lanchonetes
","
Lanches, salgados, sucos, sanduíches e refeições rápidas.
","""
Gastronomia
""",checked,,,,,,
"
Laudos e Vistorias Técnicas
","
Avaliações, inspeções, perícias, laudos de engenharia e análises técnicas de imóveis e obras.
","""
Construção, Energia e Engenharia
""",checked,,,,,,
"
Lava Jato
","
Lavagem simples, completa, higienização, limpeza interna e externa de veículos.
","""
Serviços para Veículos
""",checked,,,,,,
"
Lavanderia
","
Lavagem, secagem, passadoria e cuidados com roupas, peças especiais e enxovais.
","""
Serviços Residenciais
""",checked,,,,,,
"
Leilões Rurais
","
Organização, divulgação e intermediação de leilões de animais, máquinas, implementos e propriedades.
","""
Agronegócios
""",checked,,,,,,
"
Limpeza de Caixa d’Água
","
Higienização e manutenção de caixas d’água residenciais, comerciais e rurais.
","""
Serviços Residenciais
""",checked,,,,,,
"
Limpeza Pós-Obra
","
Limpeza especializada após construções, reformas e obras comerciais ou residenciais.
","""
Serviços Residenciais
""",checked,,,,,,
"
Livraria
","
Venda de livros, materiais didáticos, religiosos, técnicos e literatura em geral.
","""
Comércio Local
""",checked,,,,,,
"
Locução e Áudio
","
Gravação de voz, vinhetas, chamadas comerciais e materiais para rádio ou internet.
","""
Marketing e Mídia
""",checked,,,,,,
"
Logística Agro
","
Transporte e organização logística de grãos, insumos, máquinas e produtos rurais.
","""
Transporte, Fretes e Logística
""",checked,,,,,,
"
Loja de Presentes
","
Artigos para presente, decoração, utilidades e produtos criativos para datas especiais.
","""
Comércio Local
""",checked,,,,,,
"
Loteamentos
","
Empresas e profissionais ligados à venda, divulgação e regularização de lotes.
","""
Imóveis e Moradia
""",checked,,,,,,
"
Manutenção de Impressoras
","
Conserto, limpeza, configuração e manutenção de impressoras e multifuncionais.
","""
Serviços Técnicos
""",checked,,,,,,
"
Manutenção de Máquinas
","
Revisão, reparo, montagem e manutenção preventiva ou corretiva de máquinas e equipamentos.
","""
Indústria, Máquinas e Equipamentos
""",checked,,,,,,
"
Manutenção Residencial
","
Pequenos reparos, consertos, ajustes e manutenção geral em imóveis.
","""
Serviços Residenciais
""",checked,,,,,,
"
Máquinas Agrícolas
","
Venda, manutenção, locação e assistência para tratores, colheitadeiras, pulverizadores e implementos.
","""
Agronegócios
""",checked,,,,,,
"
Maquininhas e Meios de Pagamento
","
Soluções para recebimento por cartão, Pix, links de pagamento e gestão de vendas.
","""
Serviços Financeiros, Seguros
""",checked,,,,,,
"
Marmitarias
","
Marmitas, refeições prontas, comida caseira, executiva ou fitness.
","""
Gastronomia
""",checked,,,,,,
"
Marmoraria
","
Bancadas, pias, soleiras, revestimentos e peças em mármore, granito e pedras.
","""
Construção, Energia e Engenharia
""",checked,,,,,,
"
Materiais de Construção
","
Lojas de cimento, areia, brita, ferramentas, acabamento e materiais para obras.
","""
Construção, Energia e Engenharia
""",checked,,,,,,
"
Mecânica de Carros
","
Manutenção preventiva e corretiva de automóveis, motores, freios, suspensão e sistemas mecânicos.
","""
Serviços para Veículos
""",checked,,,,,,
"
Médicos, Clínicas e Hospitais
","
Atendimento médico, consultas, clínicas, especialidades, pronto atendimento e serviços hospitalares.
","""
Saúde e bem-estar
""",checked,,,,,,
"
Metalúrgica
","
Fabricação e reparos em estruturas metálicas, peças, grades, portões e componentes industriais.
","""
Indústria, Máquinas e Equipamentos
""",checked,,,,,,
"
Moda Feminina
","
Roupas, acessórios e produtos de moda voltados ao público feminino.
","""
Comércio Local
""",checked,,,,,,
"
Moda Infantil
","
Roupas, calçados e acessórios para bebês, crianças e adolescentes.
","""
Comércio Local
""",checked,,,,,,
"
Moda Masculina
","
Roupas, calçados e acessórios voltados ao público masculino.
","""
Comércio Local
""",checked,,,,,,
"
Montador de Móveis
","
Montagem, desmontagem e ajustes de móveis residenciais e comerciais.
","""
Serviços Residenciais
""",checked,,,,,,
"
Motoboy
","
Entregas rápidas de documentos, encomendas, alimentos e pequenos volumes.
","""
Transporte, Fretes e Logística
""",checked,,,,,,
"
Motos e Peças para Motos
","
Oficinas, peças, acessórios e manutenção para motocicletas.
","""
Serviços para Veículos
""",checked,,,,,,
"
Móveis e Colchões
","
Venda de móveis, colchões, estofados, mesas, cadeiras e itens para residência.
","""
Comércio Local
""",checked,,,,,,
"
Mudanças
","
Transporte residencial, comercial, desmontagem, montagem e carregamento de móveis.
","""
Transporte, Fretes e Logística
""",checked,,,,,,
"
Música e Instrumentos
","
Aulas de canto, instrumentos musicais, teoria musical e escolas de música.
","""
Educação e Cultura
""",checked,,,,,,
"
Natação
","
Aulas de natação, hidroginástica, iniciação aquática e treinamento em piscina.
","""
Clubes, Esportes e Lazer
""",checked,,,,,,
"
Nutricionista
","
Planos alimentares, acompanhamento nutricional, emagrecimento, performance e saúde.
","""
Saúde e bem-estar
""",checked,,,,,,
"
Oficina Diesel
","
Manutenção de caminhonetes, caminhões, máquinas e motores a diesel.
","""
Serviços para Veículos
""",checked,,,,,,
"
ONGs
","
Organizações sem fins lucrativos voltadas a causas sociais, ambientais, culturais ou comunitárias.
","""
Religião, Comunidade e Ações Sociais
""",checked,,,,,,
"
Órgãos Públicos
","
Prefeitura, secretarias, autarquias, serviços públicos e unidades de atendimento ao cidadão.
","""
Serviços Públicos, Associações e Entidades
""",checked,,,,,,
"
Óticas
","
Óculos de grau, óculos de sol, lentes, armações e serviços relacionados à saúde visual.
","""
Comércio Local
""",checked,,,,,,
"
Padarias
","
Pães, bolos, quitandas, cafés, lanches e produtos de panificação.
","""
Gastronomia
""",checked,,,,,,
"
Papelaria
","
Materiais escolares, escritório, impressão, cópias, embalagens e itens de papelaria.
","""
Comércio Local
""",checked,,,,,,
"
Passeios e Trilhas
","
Roteiros, caminhadas, passeios guiados, aventura e experiências ao ar livre.
","""
Turismo e Experiências
""",checked,,,,,,
"
Peças Agrícolas
","
Comércio de peças, componentes, acessórios e reposição para máquinas e equipamentos agrícolas.
","""
Agronegócios
""",checked,,,,,,
"
Peças Industriais
","
Venda, fabricação ou recuperação de peças para máquinas, motores, equipamentos e processos industriais.
","""
Indústria, Máquinas e Equipamentos
""",checked,,,,,,
"
Pedreiro
","
Serviços de construção, reforma, alvenaria, assentamento, reparos e pequenas obras.
","""
Construção, Energia e Engenharia
""",checked,,,,,,
"
Pequenos Reparos
","
Serviços gerais de manutenção, consertos simples, ajustes e reparos domésticos.
","""
Serviços Residenciais
""",checked,,,,,,
"
Perícia Técnica
","
Avaliações, laudos, vistorias e pareceres técnicos em diversas áreas.
","""
Profissionais e Serviços Especializados
""",checked,,,,,,
"
Personal Trainer
","
Acompanhamento individualizado para treino, condicionamento físico, emagrecimento e performance.
","""
Clubes, Esportes e Lazer
""",checked,,,,,,
"
Pesca e Lazer
","
Produtos, locais, serviços e experiências ligadas à pesca esportiva e recreativa.
","""
Clubes, Esportes e Lazer
""",checked,,,,,,
"
Pesca Esportiva
","
Locais, estrutura, serviços e experiências voltadas à pesca recreativa e esportiva.
","""
Turismo e Experiências
""",checked,,,,,,
"
Pet Shop
","
Venda de rações, acessórios, brinquedos, higiene, medicamentos e produtos para animais.
","""
Pet Shop e Serviços para Pets
""",checked,,,,,,
"
Pet Sitter
","
Cuidadores que atendem pets em casa, com alimentação, passeio e companhia.
","""
Pet Shop e Serviços para Pets
""",checked,,,,,,
"
Pilates
","
Aulas e atendimentos para postura, mobilidade, fortalecimento e reabilitação.
","""
Saúde e bem-estar
""",checked,,,,,,
"
Pintor
","
Pintura residencial, comercial, predial, interna, externa e acabamentos.
","""
Construção, Energia e Engenharia
""",checked,,,,,,
"
Piscineiro
","
Limpeza, tratamento químico e manutenção de piscinas residenciais e comerciais.
","""
Serviços Residenciais
""",checked,,,,,,
"
Pizzarias
","
Pizzas para consumo no local, retirada ou delivery.
","""
Gastronomia
""",checked,,,,,,
"
Planejamento Financeiro
","
Organização financeira pessoal, empresarial, familiar ou rural.
","""
Serviços Financeiros, Seguros
""",checked,,,,,,
"
Plotter
","
Impressão, recorte, adesivagem, plotagem, banners e materiais em grandes formatos.
","""
Marketing e Mídia
""",checked,,,,,,
"
Pneus e Alinhamento
","
Venda de pneus, alinhamento, balanceamento, cambagem e serviços relacionados.
","""
Serviços para Veículos
""",checked,,,,,,
"
Portões Eletrônicos
","
Instalação e manutenção de motores, controles, sensores e automatizadores de portões.
","""
Segurança e Monitoramento
""",checked,,,,,,
"
Pousadas
","
Hospedagem em ambientes menores, aconchegantes, rurais ou turísticos.
","""
Turismo e Experiências
""",checked,,,,,,
"
Pré-moldados
","
Venda e instalação de peças pré-moldadas, estruturas de concreto, postes, placas e elementos construtivos.
","""
Construção, Energia e Engenharia
""",checked,,,,,,
"
Previdência Privada
","
Planos de previdência e soluções para aposentadoria e planejamento futuro.
","""
Serviços Financeiros, Seguros
""",checked,,,,,,
"
Produção de Conteúdo
","
Fotos, vídeos, textos e materiais para redes sociais, campanhas e divulgação.
","""
Marketing e Mídia
""",checked,,,,,,
"
Produtos Veterinários
","
Venda de medicamentos, vacinas, suplementos, materiais e produtos voltados à saúde animal.
","""
Agronegócios
""",checked,,,,,,
"
Projetos Residenciais
","
Elaboração de projetos para casas, reformas, ampliações e construções residenciais.
","""
Construção, Energia e Engenharia
""",checked,,,,,,
"
Projetos Sociais
","
Projetos de inclusão, educação, esporte, cultura, assistência e desenvolvimento social.
","""
Religião, Comunidade e Ações Sociais
""",checked,,,,,,
"
Proteção Veicular
","
Associações e serviços de proteção para carros, motos, caminhonetes e veículos comerciais.
","""
Serviços Financeiros, Seguros
""",checked,,,,,,
"
Psicólogos
","
Atendimento psicológico individual, infantil, familiar, empresarial e terapias.
","""
Saúde e bem-estar
""",checked,,,,,,
"
Pulverização Aérea
","
Aplicação aérea de defensivos, fertilizantes foliares e produtos agrícolas em lavouras.
","""
Agronegócios
""",checked,,,,,,
"
Quadras e Campos
","
Locação de quadras, campos, arenas esportivas e espaços para práticas coletivas.
","""
Clubes, Esportes e Lazer
""",checked,,,,,,
"
Rações e Nutrição Animal
","
Rações, suplementos, minerais e orientação nutricional para animais de produção e companhia.
","""
Agronegócios
""",checked,,,,,,
"
Rações para Pets
","
Venda de rações, petiscos, suplementos e alimentos para cães, gatos e outros animais.
","""
Pet Shop e Serviços para Pets
""",checked,,,,,,
"
Rastreamento Veicular
","
Monitoramento de veículos, motos, caminhões, máquinas e frotas.
","""
Segurança e Monitoramento
""",checked,,,,,,
"
Recreação Infantil
","
Atividades recreativas, brincadeiras, monitores e entretenimento para crianças.
","""
Clubes, Esportes e Lazer
""",checked,,,,,,
"
Recursos Humanos
","
Recrutamento, seleção, treinamentos, folha, clima organizacional e gestão de pessoas.
","""
Profissionais e Serviços Especializados
""",checked,,,,,,
"
Redes e Wi-Fi
","
Instalação e manutenção de redes, internet, roteadores, cabeamento e pontos de acesso.
","""
Tecnologia
""",checked,,,,,,
"
Reforço Escolar
","
Apoio pedagógico para melhorar o desempenho escolar e acompanhar conteúdos específicos.
","""
Educação e Cultura
""",checked,,,,,,
"
Reformas Residenciais
","
Reformas, melhorias, adaptações e serviços de acabamento em casas e apartamentos.
","""
Serviços Residenciais
""",checked,,,,,,
"
Refrigeração Comercial
","
Manutenção de freezers, balcões refrigerados, câmaras frias e equipamentos de refrigeração.
","""
Serviços Técnicos
""",checked,,,,,,
"
Refrigeração Industrial
","
Projetos, instalação e manutenção de câmaras frias, sistemas de refrigeração e equipamentos industriais.
","""
Indústria, Máquinas e Equipamentos
""",checked,,,,,,
"
Regularização de Imóveis
","
Serviços de documentação, escrituras, averbações, registros e regularizações.
","""
Imóveis e Moradia
""",checked,,,,,,
"
Restaurantes
","
Estabelecimentos para refeições completas, almoço, jantar, comida caseira ou pratos especiais.
","""
Gastronomia
""",checked,,,,,,
"
Roupas e Moda
","
Lojas de vestuário casual, social, profissional, moda country e acessórios.
","""
Comércio Local
""",checked,,,,,,
"
Saúde Ocupacional
","
Exames admissionais, demissionais, periódicos, laudos e medicina do trabalho.
","""
Saúde e bem-estar
""",checked,,,,,,
"
Segurança Digital
","
Proteção de dados, antivírus, backup, controle de acesso e segurança da informação.
","""
Tecnologia
""",checked,,,,,,
"
Segurança Privada
","
Empresas e profissionais de vigilância, rondas, eventos e proteção patrimonial.
","""
Segurança e Monitoramento
""",checked,,,,,,
"
Segurança Residencial
","
Soluções para proteção de casas, condomínios, chácaras e propriedades.
","""
Segurança e Monitoramento
""",checked,,,,,,
"
Seguro e Proteção Patrimonial
","
Soluções para proteção de imóveis, veículos, empresas, equipamentos e patrimônio.
","""
Serviços Financeiros, Seguros
""",checked,,,,,,
"
Seguro Empresarial
","
Proteção para empresas, comércios, estoques, equipamentos e responsabilidade civil.
","""
Serviços Financeiros, Seguros
""",checked,,,,,,
"
Seguro Rural
","
Proteção para lavouras, máquinas, propriedades, animais e riscos da atividade agropecuária.
","""
Agronegócios
""",checked,,,,,,
"
Seguros de Vida, Veículos e Residenciais
","
Corretores e empresas de seguros para vida, automóveis, casas e bens pessoais.
","""
Serviços Financeiros, Seguros
""",checked,,,,,,
"
Sementes e Mudas
","
Fornecimento de sementes, mudas, variedades agrícolas e materiais para implantação de culturas.
","""
Agronegócios
""",checked,,,,,,
"
Serralheria
","
Portões, grades, estruturas metálicas, corrimãos, alambrados e serviços em metal.
","""
Construção, Energia e Engenharia
""",checked,,,,,,
"
Serviços Comunitários
","
Atendimentos, programas, campanhas e serviços voltados à comunidade local.
","""
Serviços Públicos, Associações e Entidades
""",checked,,,,,,
"
Serviços Contábeis
","
Contabilidade, abertura de empresas, impostos, folha de pagamento, declarações e gestão fiscal.
","""
Profissionais e Serviços Especializados
""",checked,,,,,,
"
Serviços Jurídicos
","
Advocacia, orientação legal, contratos, processos, consultoria e representação jurídica.
","""
Profissionais e Serviços Especializados
""",checked,,,,,,
"
Silos e Armazéns
","
Estruturas, equipamentos e serviços para armazenagem, secagem e conservação de grãos.
","""
Agronegócios
""",checked,,,,,,
"
Sindicatos
","
Representação de trabalhadores, produtores, empresas ou categorias profissionais.
","""
Serviços Públicos, Associações e Entidades
""",checked,,,,,,
"
Sistemas de Gestão
","
Implantação e suporte para ERP, controle financeiro, estoque, vendas e gestão empresarial.
","""
Tecnologia
""",checked,,,,,,
"
Social Media
","
Gestão de redes sociais, planejamento de conteúdo, postagens e relacionamento digital.
","""
Marketing e Mídia
""",checked,,,,,,
"
Solda
","
Serviços de soldagem, reparos, fabricação de peças, reforços estruturais e manutenção metálica.
","""
Indústria, Máquinas e Equipamentos
""",checked,,,,,,
"
Som e Acessórios Automotivos
","
Instalação de som, multimídia, alarmes, câmeras, películas e acessórios veiculares.
","""
Serviços para Veículos
""",checked,,,,,,
"
Som e Iluminação
","
Equipamentos de áudio, iluminação cênica, painéis, estruturas e operação técnica.
","""
Festas e Eventos
""",checked,,,,,,
"
Spa e Massagem
","
Relaxamento, massagens terapêuticas, day spa e cuidados com bem-estar.
","""
Saúde e bem-estar
""",checked,,,,,,
"
Starlink
","
Instalação, configuração e suporte para internet via satélite Starlink.
","""
Serviços Técnicos
""",checked,,,,,,
"
Studio de Musculação
","
Espaços menores e personalizados para musculação, treino funcional e acompanhamento físico.
","""
Clubes, Esportes e Lazer
""",checked,,,,,,
"
Supermercados e Mercearias
","
Comércio de alimentos, bebidas, produtos de limpeza, higiene e itens do dia a dia.
","""
Comércio Local
""",checked,,,,,,
"
Suporte Técnico em Informática
","
Manutenção de computadores, notebooks, impressoras, redes e equipamentos.
","""
Tecnologia
""",checked,,,,,,
"
Táxi e Motorista Particular
","
Transporte de passageiros, corridas locais, viagens e atendimento sob demanda.
","""
Transporte, Fretes e Logística
""",checked,,,,,,
"
Táxi Pet
","
Transporte especializado para levar animais a clínicas, banho e tosa ou viagens.
","""
Pet Shop e Serviços para Pets
""",checked,,,,,,
"
Teatro e Artes
","
Aulas, oficinas, apresentações e atividades ligadas a teatro, artes visuais e expressão cultural.
","""
Educação e Cultura
""",checked,,,,,,
"
Técnico em Câmeras e Alarmes
","
Instalação e manutenção técnica de câmeras, alarmes, sensores e sistemas de segurança.
","""
Serviços Técnicos
""",checked,,,,,,
"
Tecnologia para Empresas
","
Soluções digitais, automação, infraestrutura e suporte para empresas e profissionais.
","""
Tecnologia
""",checked,,,,,,
"
Telas e Alambrados
","
Instalação de telas, cercamentos, alambrados, grades e proteções para imóveis e áreas rurais.
","""
Construção, Energia e Engenharia
""",checked,,,,,,
"
Telhados e Coberturas
","
Construção, reforma e manutenção de telhados, coberturas metálicas e estruturas.
","""
Construção, Energia e Engenharia
""",checked,,,,,,
"
Terapias Integrativas
","
Acupuntura, massoterapia, quiropraxia, reiki, terapias naturais e complementares.
","""
Saúde e bem-estar
""",checked,,,,,,
"
Terraplanagem
","
Serviços com máquinas para nivelamento, preparação de terrenos, estradas e áreas de construção.
","""
Construção, Energia e Engenharia
""",checked,,,,,,
"
Topografia
","
Levantamentos, medições, marcações de obra, mapas, áreas e apoio técnico para projetos.
","""
Construção, Energia e Engenharia
""",checked,,,,,,
"
Tradução e Intérprete
","
Tradução de documentos, textos, reuniões, eventos e atendimento especializado.
","""
Profissionais e Serviços Especializados
""",checked,,,,,,
"
Tráfego Pago
","
Criação e gestão de anúncios no Google, Instagram, Facebook e outras plataformas.
","""
Marketing e Mídia
""",checked,,,,,,
"
Transportadoras
","
Empresas de transporte de cargas regionais, estaduais e interestaduais.
","""
Transporte, Fretes e Logística
""",checked,,,,,,
"
Transporte Escolar
","
Transporte de estudantes com rotas definidas, regularidade e segurança.
","""
Transporte, Fretes e Logística
""",checked,,,,,,
"
Transporte Executivo
","
Motoristas e veículos para viagens, reuniões, eventos e atendimento corporativo.
","""
Transporte, Fretes e Logística
""",checked,,,,,,
"
Transporte Rural
","
Fretes e transporte de grãos, insumos, animais, máquinas e produtos agropecuários.
","""
Agronegócios
""",checked,,,,,,
"
Transporte Turístico
","
Transporte para passeios, eventos, hotéis, pontos turísticos e viagens em grupo.
","""
Turismo e Experiências
""",checked,,,,,,
"
Treinamento Funcional
","
Aulas e programas de exercícios com foco em mobilidade, força, resistência e condicionamento.
","""
Clubes, Esportes e Lazer
""",checked,,,,,,
"
Treinamentos Educacionais
","
Capacitações, palestras, cursos e atividades de formação para estudantes e profissionais.
","""
Educação e Cultura
""",checked,,,,,,
"
Troca de Óleo
","
Troca de óleo, filtros, lubrificantes e manutenção preventiva.
","""
Serviços para Veículos
""",checked,,,,,,
"
Usinagem
","
Fabricação e recuperação de peças por torno, fresa, ajustes mecânicos e processos de precisão.
","""
Indústria, Máquinas e Equipamentos
""",checked,,,,,,
"
Utilidades Domésticas
","
Produtos para casa, cozinha, organização, limpeza, decoração e uso cotidiano.
","""
Comércio Local
""",checked,,,,,,
"
Venda de Carros
","
Compra, venda, intermediação e negociação de veículos novos e usados.
","""
Serviços para Veículos
""",checked,,,,,,
"
Venda de Imóveis
","
Divulgação, negociação e intermediação de imóveis residenciais, comerciais, urbanos e rurais.
","""
Imóveis e Moradia
""",checked,,,,,,
"
Veterinário em Domicílio
","
Atendimento veterinário realizado na casa do tutor, com consultas e orientações.
","""
Pet Shop e Serviços para Pets
""",checked,,,,,,
"
Vigilância e Monitoramento
","
Serviços de acompanhamento remoto, rondas, alarmes monitorados e atendimento de ocorrências.
","""
Segurança e Monitoramento
""",checked,,,,,,
"
Vistoria Veicular
","
Vistoria, inspeção e regularização documental de veículos.
","""
Serviços para Veículos
""",checked,,,,,,
"
Vistorias de Imóveis
","
Vistorias de entrada, saída, conservação, entrega de obra e documentação de imóveis.
","""
Imóveis e Moradia
""",checked,,,,,,
"
Voluntariado
","
Oportunidades e grupos para participação voluntária em ações, campanhas e projetos.
","""
Religião, Comunidade e Ações Sociais
""",checked,,,,,,
"
Workshops e Imersões
","
Eventos de curta duração com foco em aprendizado prático, desenvolvimento e capacitação intensiva.
","""Desenvolvimento
  Pessoal e Profissional""",checked,,,,,,
Coaching Pessoal,"Acompanhamento voltado para metas pessoais, autoconhecimento, hábitos, organização e evolução individual.",Desenvolvimento Pessoal e Profissional,checked,,,,,,
Coaching Profissional,"Desenvolvimento de carreira, liderança, performance, produtividade e posicionamento profissional.",Desenvolvimento Pessoal e Profissional,checked,,,,,,
Consultoria de Imagem Profissional,"Orientação sobre postura, apresentação pessoal, imagem, comunicação e posicionamento profissional.",Desenvolvimento Pessoal e Profissional,checked,,,,,,
Cursos de Liderança,"Capacitações para líderes, gestores, coordenadores e pessoas que desejam desenvolver liderança.",Desenvolvimento Pessoal e Profissional,checked,,,,,,
Cursos de Vendas,"Treinamentos para melhorar técnicas de venda, negociação, atendimento e relacionamento com clientes.",Desenvolvimento Pessoal e Profissional,checked,,,,,,
Cursos Livres,"Cursos de curta duração voltados ao desenvolvimento pessoal, profissional, técnico ou comportamental.",Desenvolvimento Pessoal e Profissional,checked,,,,,,
Desenvolvimento de Lideranças,"Programas para formar líderes, melhorar gestão de equipes e desenvolver cultura organizacional.",Desenvolvimento Pessoal e Profissional,checked,,,,,,
Educação Financeira Pessoal,"Cursos e mentorias sobre organização financeira, orçamento, dívidas, planejamento e investimentos básicos.",Desenvolvimento Pessoal e Profissional,checked,,,,,,
Empreendedorismo,"Cursos, mentorias e treinamentos para quem deseja abrir, organizar ou expandir um negócio.",Desenvolvimento Pessoal e Profissional,checked,,,,,,
Gestão de Pessoas,"Treinamentos e consultorias sobre equipes, comunicação interna, clima organizacional e relacionamento no trabalho.",Desenvolvimento Pessoal e Profissional,checked,,,,,,
Inteligência Emocional,"Desenvolvimento de habilidades emocionais, autocontrole, relacionamento interpessoal e equilíbrio pessoal.",Desenvolvimento Pessoal e Profissional,checked,,,,,,
Mentoria para Empreendedores,"Acompanhamento para empresários, autônomos e profissionais que buscam melhorar seus negócios.",Desenvolvimento Pessoal e Profissional,checked,,,,,,
Mentoria Profissional,"Orientação individual ou em grupo para carreira, negócios, liderança, tomada de decisão e crescimento profissional.",Desenvolvimento Pessoal e Profissional,checked,,,,,,
Oratória e Comunicação,"Cursos, mentorias e treinamentos para falar melhor em público, apresentar ideias e se comunicar com clareza.",Desenvolvimento Pessoal e Profissional,checked,,,,,,
Orientação de Carreira,"Apoio para escolha profissional, transição de carreira, recolocação, currículo e planejamento de futuro.",Desenvolvimento Pessoal e Profissional,checked,,,,,,
Palestrantes,"Profissionais que realizam palestras para empresas, escolas, eventos, equipes e instituições.",Desenvolvimento Pessoal e Profissional,checked,,,,,,
Preparação para Entrevistas,"Orientação para entrevistas de emprego, apresentação profissional e processos seletivos.",Desenvolvimento Pessoal e Profissional,checked,,,,,,
Produtividade e Organização,"Métodos e treinamentos para melhorar rotina, foco, gestão do tempo, planejamento e execução.",Desenvolvimento Pessoal e Profissional,checked,,,,,,
Treinamentos Empresariais,"Capacitações para equipes em vendas, atendimento, liderança, comunicação, gestão e comportamento profissional.",Desenvolvimento Pessoal e Profissional,checked,,,,,,
Workshops e Imersões,"Eventos de curta duração com foco em aprendizado prático, desenvolvimento e capacitação intensiva.",Desenvolvimento Pessoal e Profissional,checked,,,,,,